1238942.0;ACME EAGLE INC;101 KAPPA DR;PITTSBURGH;PA;1;1;true;1.0
1356797.0;ACME EAGLE INC*;101 KAPPA DR;PITTSBURGH;PA;2;1;true;1.0
1256114.0;ACME FOOD INC - CARLISLE*;1149 HARRISBURG PIKE;CARLISLE;PA;3;1;true;1.0
2035525.0;ACME FOOD INC*;1149 HARRISBURG PIKE;CARLISLE;PA;4;1;true;1.0
1344834.0;ACME FOOD INC--HYATTSVILLE;6300 SHERIFF RD;HYATTSVILLE;MD;5;1;true;1.0
1256111.0;ACME FOOD INC--LANDOVER*;PO BOX 7500;CARLISLE;PA;6;1;true;1.0
1361081.0;ACME FOOD INC. - CARLISLE;1149 HARRISBURG PIKE;CARLISLE;PA;7;1;true;1.0
1742325.0;ACME Foods;6400 Sheriff Road;LANDOVER;MD;8;1;true;1.0
1748776.0;ACME FOODS;1149 HARRISBURG PIKE;CARLISLE;PA;9;1;true;1.0
1934897.0;ACME FOODS *;1149 HARRISBURG PIKE;CARLISLE;PA;10;1;true;1.0
1362533.0;ACME IDEAS L.P.;101 WOOD ST;PITTSBURGH;PA;11;1;true;1.0
1354602.0;ACME OF CARLISLE;1149 HARRISBURG PIKE;CARLISLE;PA;12;1;true;1.0
1239905.0;ACME TIGER;TORA CHABABEL LIMITEE;MONTREAL;QC;13;1;true;1.0
1247344.0;ACME TIGER STORES  LTD;2480 WALKLEY ROAD;OTTAWA;ON;14;1;true;1.0
1750749.0;Goodyear Tire & Rubber Company The;1144 E. Market St.;Akron;OH;15;1;true;1.0
1237383.0;GOODYEAR TIRE AND RUBBER CO.;1144 E MARKET ST;AKRON;OH;16;1;true;1.0
51291.0;Goodyear Tire & Rubber Company The;1144 E. Market St.;Akron;OH;17;1;true;1.0
55967.0;GOODYEAR TIRE AND RUBBER CO.;1144 E MARKET ST;AKRON;OH;18;1;true;1.0
1364950.0;GOODYS FAMILY CLOTHING   IA;400 GOODYS LN;KNOXVILLE;TN;19;1;true;1.0
1256932.0;GOODYS FAMILY CLOTHING INC;400 GOODYS LN;KNOXVILLE;TN;20;1;true;1.0
1243242.0;GOOGLE  INC;1600 AMPHITHEATRE PKWY;MOUNTAIN VIEW;CA;21;1;true;1.0
1241058.0;GOOGLE INC;1600 AMPHITHEATRE PARKWAY;MOUNTAIN VIEW;CA;22;1;true;1.0
1365979.0;GOOGLE INC;1600 AMPHITHEATRE PARKWAY;MOUNTAIN VIEW;CA;23;1;true;1.0
1750751.0;GOOGLE INC.;1600 Amphitheatre Pkwy.;Mountain View;CA;24;1;true;1.0
1364839.0;GADDIS PARTNERS LTD.;1806 RIO GRANDE ST;AUSTIN;TX;25;1;true;1.0
1246072.0;GADSDEN TIMES INC. THE;P.O. BOX 188;GADSDEN;AL;26;1;true;1.0
1244404.0;GADZOOKS 21 INC;4121 INTERNATIONAL PKWY;CARROLLTON;TX;27;1;true;1.0
1342478.0;GAGE MARKETING;101 UNION ST;PLYMOUTH;MI;28;1;true;1.0
1352083.0;GAGE MARKETING;10000 HWY 55;PLYMOUTH;MN;29;1;true;1.0
1736156.0;GAGE MARKETING;10000 HIGHWAY 55;MINNEAPOLIS;MN;30;1;true;1.0
1343350.0;GAGE MARKETING GROUP LLC;4701 KARMAN AVE;IRVINE;CA;31;1;true;1.0
1364276.0;GAGE MARKETING GROUP LLC;10000 HIGHWAY 55 STE 300;MINNEAPOLIS;MN;32;1;true;1.0
1246073.0;GAGE MARKETING GROUP LLC;10000 HIGHWAY 55;MINNEAPOLIS;MN;33;1;true;1.0
1366660.0;GAIAM INC.;360 INTERLOCKEN BLVD.;BROOMFIELD;CO;34;1;true;1.0
1744776.0;GAIN INC;2211 DICKENS ROAD;RICHMOND;VA;35;1;true;1.0
1747708.0;GAINES STANLEY;3915 LEMMON AVE;DALLAS;TX;36;1;true;1.0
1359361.0;GAINESVILLE TIMES;P.O. BOX 838;GAINESVILLE;GA;37;1;true;1.0
1755284.0;GAINSCO INC.;3333 LEE PKWY STE 1200;DALLAS;TX;38;1;true;1.0
1360751.0;GALARDI GROUP INC;4440 VON KARMAN AVE;NEWPORT BEACH;CA;39;1;true;1.0
1342480.0;GALAXIE DISPLAYS;13501 ALONDRA BLVD;SANTA FE SPRING;CA;40;1;true;1.0
1246075.0;GALDE PRESS;17110 HERSHEY COURT;LAKEVILLE;MN;41;1;true;1.0
1752858.0;GALISON MUDPUPPY;28 W 44TH ST;NEW YORK;NY;42;1;true;1.0
1750354.0;GALLAGHER ADVERTISING;222 PARK AVE;SCOTCH PLAINS;NJ;43;1;true;1.0
1243073.0;GALLERIA COLLECTION INC;945 E LAS OLAS BLVD;FORT LAUDERDALE;FL;44;1;true;1.0
1364608.0;GALLERY MODEL HOMES INC.;6006 NORTH FWY;HOUSTON;TX;45;1;true;1.0
1248284.0;GALLERY MODEL HOMES INC.;6006 NORTH FWY;HOUSTON;TX;46;1;true;1.0
1364096.0;GALLOWAY PLASTICS  INC;960 NORTH SHORE DR;LAKE BLUFF;IL;47;1;true;1.0
1362139.0;GALLUP INC.;1001 GALLUP DR;OMAHA;NE;48;1;true;1.0
1238927.0;GALT HERALD THE (APS);PO BOX 307;GALT;CA;49;1;true;1.0
1238376.0;GALVESTON COUNTY DAILY NEW  (APS);8522 TEICHMAN RD;GALVESTON;TX;50;1;true;1.0
1364097.0;GALYAN'S;;PLAINFIELD;IN;51;1;true;1.0
1236385.0;GALYAN'S TRADING COMPANY A DIV;300 INDUSTRY DR;PITTSBURGH;PA;52;1;true;1.0
